states,year,y,ADHD,BMI,Slim,abdominal,amphetamine,anorexia,apnea,appetite,asthma,autoregression data,belly fat,calorie,calories,cardiovascular,cholesterol,diabetes,diabetic,diet,diet plan,dietary,diets,dresses plus size,exercise,food delivery near me,fructose,gastric,glucose,healthier,healthy,healthy diet,how to lose weight,hypertension,inactivity,insulin,lose fat,lose weight,malnutrition,meals,myfitnesspal,nutrition,nutritional,obese,obesity,overweight,plus size wedding dresses,smoking,stomach,sugars,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weight loss,wellness
Manitoba,2012,56.3,38.71589915258224,43.090815427748886,84.15658020068615,44.227937577685275,64.9802541328864,48.869508525344585,47.306747144045374,65.94367439830172,48.697735440046245,58.4,47.70988824147016,36.9929750440506,36.316463231092705,61.04143550785864,52.42866659858406,43.674650887792176,22.25535334897877,39.94296777004857,72.20540783077685,85.72460513061326,47.82325590849391,0.0,45.407752449835336,0.0,55.185622221577646,40.35846302708199,44.073520003065255,85.85075395568566,41.30297093892782,0.0,43.58668070290128,63.56652574435734,91.31196551024607,39.82871388189552,91.31594050642968,48.33176590949585,66.89776499565913,46.43958968440526,155.24297489387124,57.20056492002235,40.2593377717814,70.9839004433808,52.515901399984,86.3544232517476,0.0,38.21622825961855,47.5253823668705,27.896607192754537,0.0,0.0,94.91215865740308,56.00086885698137,46.25787275540941,52.74170065381674
New Brunswick,2012,60.8,46.63506034288315,39.59696552820168,70.36041951204908,36.856614648071066,203.06329416527,47.473236853191885,48.16686981939165,75.36419931234482,39.6538702868948,59.4,65.34180346114391,39.405560373010424,34.834158609415454,37.22038750479185,45.66367736005708,39.957659322873695,31.022613759182526,41.94011615855099,0.0,17.14492102612265,43.724119687765864,0.0,46.29810053708701,0.0,19.642340112764927,50.14233285182913,31.83087555776935,64.16214243003876,42.362021475823404,0.0,45.36572889485644,58.67679299479139,0.0,44.02121007998978,0.0,49.91641397210227,71.93308064049369,63.429683471382795,215.76142273385494,53.20982783257893,39.54042102585673,68.69409720327174,47.17530125761275,100.57750472850604,0.0,41.01253764446869,50.920052535932676,35.173982982168766,0.0,0.0,72.76598830400903,48.53408634271719,53.96751821464431,41.753846350938254
Newfoundland and Labrador,2012,63.2,57.19394192995103,51.243131860025706,74.4992677186402,68.79901400973266,0.0,69.81358360763512,55.04785122216189,90.43703917481378,33.392732873174566,69.3,80.89937571379723,45.034926140583345,42.245681717801716,56.57498900728361,84.5623654815872,52.96712980008839,36.41785093469253,46.93298712980707,0.0,76.29489856624579,38.25860472679513,0.0,50.74984097334538,0.0,86.98750621367324,50.14233285182913,31.341169779957514,51.5104523734114,47.657274160301334,0.0,76.49907225407163,58.67679299479139,0.0,48.21370627808405,0.0,78.44007909901785,15.82527774090861,75.88908558183299,263.1236862607987,67.84253048653814,58.95117316582276,101.89624418485307,89.01000237285425,93.46596399012682,0.0,46.60515641416897,74.68274371936793,25.470815262949795,0.0,0.0,104.4033745231434,124.44637523773639,65.53198640349666,31.864777478347616
Nova Scotia,2012,60.5,52.794407935339414,45.420048694113696,78.63811592523132,51.59926050729949,91.3784823743715,54.45459521395539,50.74723784543049,79.13240927796205,41.74091609146821,61.0,51.85857417551104,36.18877993439733,34.093006298576825,62.530251008050314,44.81805370524121,45.53314667025142,26.301781230611272,44.935838741304636,73.09683261881113,47.148532821837286,57.3879070901927,0.0,43.62705627533199,808.305873351174,93.53495291792822,45.25039793945556,46.52204889212444,90.36921469019543,42.362021475823404,0.0,44.47620479887886,46.45246112087652,48.96438730259572,49.26183032760761,105.1195129085644,49.12408994079906,66.89776499565913,60.03166471398729,194.71152783299104,58.53081061583683,47.44850523102807,78.9982117837625,56.076301494898175,76.1950793397773,0.0,41.01253764446869,52.61738762046377,36.38687894707113,0.0,0.0,85.42094279166278,99.5571001901891,50.11269548502686,56.03805694468029
Ontario,2012,52.9,36.95608555473759,36.10311562865447,66.22157130545796,39.3137222912758,62.9496211912337,46.07696518103918,33.544784338504904,69.71188436391895,36.871142547463585,52.3,43.56120230742928,29.75521905717114,34.093006298576825,53.597358006900265,38.89868812153011,38.09916354041445,16.185711526530014,35.94867099304371,69.53113346667399,52.292009129674085,38.25860472679513,115.72177227251072,36.504271577318605,577.3613381079814,78.56936045105971,46.473381667548956,33.29999289120486,60.547373842430936,34.94866771755431,88.28334949059179,38.24953612703582,44.007594746093545,67.49145276844274,38.78058983237195,90.25412724472702,39.61620156516053,52.511148867560394,44.17424384614159,110.51194822953546,51.879582136764455,36.66475404215806,53.810376142562866,51.62580137625546,60.95606347182184,67.53962671662867,34.48781574648504,44.13071219780832,24.257919298047423,71.24049367549128,142.25352112676057,64.85664174922545,80.89014390452866,39.83316820604699,40.655060920650406
Prince Edward Island,2012,61.3,75.67198470731982,69.87699799094415,124.16544619773366,83.54165986896108,0.0,139.62716721527025,86.01226753462795,188.41049828086204,69.56819348578036,57.6,103.71714835102208,68.35658432052828,52.621814069542495,148.8815500191674,83.71674182677131,74.33983129836966,67.44046469387506,65.90589682058014,0.0,84.86735907930712,136.6378740242683,0.0,72.11819506738553,0.0,70.15121468844616,122.29837280933936,48.970577781183614,89.46552254329347,67.77923436131745,0.0,88.95240959775772,122.24331873914873,0.0,104.81240495235662,0.0,79.23240313032106,0.0,92.87917936881053,244.7050282225428,78.48449605305392,71.17275784654211,114.4901620054529,89.01000237285425,54.86045712463966,0.0,66.17932210811993,84.86675422655446,121.28959649023712,0.0,0.0,158.1869310956718,0.0,93.80068642069129,94.495547004755
Alberta,2013,54.6,35.640697451229585,37.73529108111763,67.46768541774651,41.79551175944065,70.79405114651847,35.00266827816202,37.75170184879877,71.48629125730189,39.733879055967876,53.1,53.467127496126444,33.53086224696253,38.509925490618464,44.50886084360316,37.45496815664956,35.230726676900964,21.26078190545203,38.818106628454046,92.53292244201405,37.496033025719136,38.984177876801894,0.0,39.564064682244016,232.62647351913577,70.26398111785446,41.78947093113951,33.06748297192463,64.31224447781497,43.23073996122705,112.5548193529272,36.256592817206794,47.217983960506366,50.91579136151877,44.48058096133159,105.11884957531223,41.7279715665938,30.639992686952954,57.85353301505486,189.57229706162326,49.51250066469304,38.251768323751676,54.39942524773615,38.68747172084246,75.62672940466769,96.872275000051,36.1210090185519,48.74685803239081,34.81755131115582,75.205439852863,0.0,75.2087243254538,87.46766963176849,48.52421146513762,74.7085073491544
British Columbia,2013,46.9,35.640697451229585,34.3048100737433,62.81474159583296,40.016979344145305,73.32241011603699,42.781039006642466,34.440149055044486,73.31927308441219,32.88321025321479,0.0,47.983319547805785,29.586054923790467,37.82224824971456,43.844549487728486,39.32771656448203,34.194528833462705,18.603184167270527,38.818106628454046,92.53292244201405,39.43548300980805,32.129816931430135,0.0,38.28780453120388,374.0268789915516,74.44636094629817,37.14619638323512,35.823106552918354,76.60723239269137,43.23073996122705,105.80153019175157,33.04398332707455,44.07011836313928,57.280265281708616,41.24562961868929,100.22960075785585,38.36281256928785,51.91776538622584,57.85353301505486,166.4537242492302,47.359783244488995,38.251768323751676,59.436409066970974,36.04968955805774,65.67584395668509,55.217196750029075,36.1210090185519,47.392778642602174,25.089117856568166,52.06530451352054,0.0,82.98893718670764,101.004332789066,42.30315871319689,50.801784997424996
Manitoba,2013,56.9,40.732225658548096,33.44718982189972,69.79415732870329,46.24184279767901,50.56717939037034,52.115083880819,39.076322966300474,67.82032760308127,44.52934721789503,56.3,61.692839418607434,33.53086224696253,35.07153928609896,42.51592677597914,50.564207011476896,44.55650726784534,22.58958077454278,38.818106628454046,78.21235111170236,60.76943283478619,35.12859984503028,0.0,44.66910528640453,0.0,66.91807725509948,38.30701502021122,39.95654192440894,62.4207078755263,48.171395956795855,0.0,39.92814652021508,60.85873488243043,70.71637689099829,42.054367454349865,122.23122043640957,47.11222596228332,82.55775807317879,65.08522464193672,212.69086987401636,50.588859374795064,39.12112669474603,69.51037670544063,46.600818209196596,75.62672940466769,0.0,40.49931314201274,56.871334371122614,44.03396195234413,0.0,0.0,84.28563933024995,80.17869716245445,47.28000091474947,55.28429543837426
New Brunswick,2013,64.3,44.55087181403698,31.731949318212553,76.77357306157361,44.46331038238367,126.41794847592584,45.1145502251866,41.7255652013039,73.31927308441219,36.30854465459133,60.8,58.950935444447104,34.51706407775555,33.008507563387255,47.83041762297653,45.8823359918957,37.30312236377749,30.562373989087295,42.51506916449729,0.0,53.0116328984305,32.55821449051587,0.0,44.66910528640453,0.0,54.370937769768325,42.95028956811561,31.689671181427777,64.31224447781497,46.93623195790365,0.0,37.17448124295886,60.85873488243043,0.0,38.010678276046995,0.0,51.150416759050465,85.11109079709153,52.42976429489347,319.03630481102454,44.13070711418293,36.513051581762966,74.54736052467545,42.20451460455541,98.51376593502764,0.0,43.78304123460836,51.45501681196808,47.10609883274023,0.0,0.0,75.2087243254538,55.1879344105206,51.012632565913904,46.31927455647573
