states,year,y,autoregression data,cholesterol,diabetes mellitus,diabetic,diabetic diet,endocrine,glucose,glycogen,hypertension,obesity,sclerosis,signs of diabetes,sugar level,type 1 diabetes,type 2 diabetes
Georgia,2011,10.10,9.7,48.486922972500004,17.616174804061302,44.33987182918585,36.82712622376683,32.65776259597572,62.56573195118685,32.420786100162516,41.98176296903404,26.294946113929615,23.39532886870782,42.91498689358366,106.87547993940929,32.62385905111215,43.81258018315575
Idaho,2011,9.40,8,50.967649264116275,25.7196152139295,49.94913272323949,48.256234362177224,34.33730467234019,81.72648736123783,60.11354089405133,46.698814988026626,37.105090627434016,30.91525600507819,50.740660974178326,0.0,49.90963511550739,50.36956497247158
Illinois,2011,9.70,8.7,48.486922972500004,18.849307040345593,38.99771859675382,27.683839713038513,23.14035749657708,62.56573195118685,32.420786100162516,39.85908956048738,24.83411577426686,26.18048706736351,38.62348820422529,91.49188812994886,37.249630110598204,43.81258018315575
Indiana,2011,10.20,9.8,55.92910184734884,25.543453465888888,51.551778692969094,44.44653164937376,39.74916247395902,84.46373813410224,43.00257045229889,46.227109786127365,35.79034332173754,30.63674018521262,42.41010469483562,0.0,49.422711846087815,62.88744502480179
Iowa,2011,8.20,7.5,52.09525212394186,25.543453465888888,51.551778692969094,41.39876947913099,32.65776259597572,77.03405746489881,40.30083827728535,48.349783194674025,34.329512982074775,29.244161085884773,45.691838986697896,0.0,44.310017517182175,51.859788788225174
Kansas,2011,9.50,8.4,54.80149898752326,23.605674237442145,49.682025061617885,40.38284875571673,32.84437838223843,74.29680669203438,46.604880018983614,45.28369938232885,30.385271064985332,29.383418995817557,50.48821987480431,0.0,47.96194203782906,55.73437070918453
Kentucky,2011,10.70,10,53.673896127697674,27.128909198254405,61.96897749621155,51.05001635156643,32.65776259597572,75.46991416611912,37.599106102271804,50.47245660322069,34.037346914142226,33.42189838386831,46.954044483568005,0.0,39.927708092405915,53.35001260397877
Louisiana,2011,11.80,10.3,54.80149898752326,29.947497166904213,56.89393192540113,64.25698575595177,33.96407309981475,73.90577086733946,41.20141566895653,51.415867007019216,30.677437132917884,29.9404506355487,42.41010469483562,0.0,35.545398667629655,51.26369926192374
Maine,2011,9.60,8.7,60.43951328665116,24.662644725685823,48.88070207675308,39.8748883940096,39.93577826022173,80.55337988715307,32.420786100162516,49.529046199422176,33.5990978122434,36.20705658252401,34.07954841549291,0.0,38.953861553566746,57.52263928808884
Maryland,2011,9.40,9.3,53.899416699662794,22.19638025311724,42.203010536213036,28.19180007474564,38.81608354264542,79.38027241306831,40.30083827728535,51.18001440606958,34.329512982074775,30.218966455414265,36.60395940923312,0.0,41.87540117008425,50.6676097356223
Massachusetts,2011,8.00,7.4,50.065566976255816,18.496983544264367,33.12135004107859,21.842295553406533,29.671910015772223,70.38644844508521,37.8242504501896,41.03835256523552,26.73319521582844,30.91525600507819,30.29293192488258,69.63099450597878,36.76270684117862,46.19693828836151
Michigan,2011,10.00,10.2,49.16348468839536,25.543453465888888,45.67541013729386,35.557225319499004,29.485294229509503,70.38644844508521,39.40026088561417,45.75540458422811,30.385271064985332,30.358224365347052,42.15766359546159,95.13537040061054,37.98001501472758,51.26369926192374
Minnesota,2011,7.30,6.7,48.03588182856977,22.548703749198467,39.53193391999703,26.413938808770688,28.92544687072135,72.73266339325471,38.27453914602519,42.92517337283255,27.025361283760994,26.73751870709465,37.36128270735519,0.0,40.4146313618255,46.79302781466295
Mississippi,2011,12.30,12.3,64.49888358202325,38.40326107285364,66.24270008215719,66.79678756448742,43.294862412950664,82.89959483532257,50.657478281503934,58.01973983360884,43.24057805401759,33.839672113666666,72.19815442097016,0.0,41.631939535374464,62.29135549850036
Missouri,2011,10.20,9.4,51.1931698360814,26.071938710010727,50.21624038486109,40.12886857486316,30.791604733348535,75.07887834142421,40.75112697312094,47.406372790875515,29.654855895153958,29.801192725615913,37.613723806729205,87.44357449588033,48.20540367253885,57.22459452493813
Montana,2011,7.90,7,59.98847214272094,37.698614080691186,51.01756336972589,40.12886857486316,32.097915237187564,81.72648736123783,60.78897393780472,45.047846781379214,35.49817725380498,33.42189838386831,0.0,0.0,58.43079233035012,61.09917644589748
Nebraska,2011,8.40,7.7,53.44837555573256,32.06143814339157,48.88070207675308,33.779364053524056,33.21760995476387,77.03405746489881,50.20718958566834,49.057340997522914,33.160848710344574,27.433808256758574,53.51751306729257,0.0,47.47501876840947,52.455878314526615
Nevada,2011,10.30,8.4,51.418690408046515,21.844056757036014,42.470118197834644,33.779364053524056,31.35145209213669,61.392624477102096,33.54650783975149,38.208121353839964,22.642870264772725,24.09161841837174,36.09907721048508,0.0,35.30193703291987,44.40866970945719
New Hampshire,2011,8.70,7.9,56.60566356324419,20.96324801683295,45.14119481405066,30.47762170242772,34.15068888607747,74.29680669203438,40.75112697312094,40.56664736333626,33.160848710344574,31.333029734876543,30.545373024256605,0.0,46.014248960150724,53.051967840828056
New Jersey,2011,8.80,9.2,53.22285498376745,20.610924520751723,38.19639561188902,26.921899170477822,28.365599511933194,69.60437679569537,36.92367305851842,42.217615569983664,26.587112181862167,27.294550346825787,32.31246071987475,108.08997402962984,33.84116722466111,46.49498305151223
New Mexico,2011,10.00,8.5,59.98847214272094,34.52770261596015,60.36633152648194,50.79603617071287,36.94992568001824,86.41891725757684,44.80372523564125,55.89706642506217,31.700018370681814,31.054513915010972,39.12837040297333,0.0,44.066555882472386,67.95420599836403
New York,2011,10.30,8.9,44.653073249093026,17.44001305602069,32.58713471783538,21.08035501084584,27.432520580619602,55.91812293137324,31.069920012655743,36.55715314719256,22.49678723080645,24.509392148170097,32.06001962050073,86.22908040565977,27.511164722206512,37.851684920141366
North Carolina,2011,10.70,9.8,53.44837555573256,20.787086268792336,46.74384078378027,38.351007308888214,43.10824662668795,65.30298272405126,37.599106102271804,46.698814988026626,30.385271064985332,28.130097806422494,39.12837040297333,99.99334676149277,35.30193703291987,47.38911734096438
North Dakota,2011,8.30,7.5,64.04784243809303,49.853774695493485,54.75707063242831,0.0,51.31934122224756,108.31692344049222,45.929446975230235,66.98213866969476,39.0041700689956,35.928540762658436,71.18839002347407,0.0,69.38656589229078,86.13493655055791
Ohio,2011,10.00,10.1,52.09525212394186,22.020218505076627,47.27805610702347,39.11294785144891,30.791604733348535,73.12369921794964,39.625405233531964,46.227109786127365,29.508772861187676,30.91525600507819,45.18695678794985,98.77885267127222,39.197323188276535,53.35001260397877
Oklahoma,2011,11.10,10.4,54.57597841555815,25.543453465888888,60.63343918810355,55.11369924522346,28.552215298195915,79.77130823776322,40.30083827728535,45.519551983278475,28.632274657390024,29.104903175951993,40.643016999217465,0.0,43.336170978343006,60.80113168274676
Oregon,2011,9.30,7.1,52.77181383983721,20.43476277271111,44.874087152429055,30.731601883281286,25.939594290517856,65.30298272405126,38.49968349394299,40.094942161437,27.609693419626097,27.016034526960222,29.283167527386496,0.0,36.27578357175903,52.455878314526615
Pennsylvania,2011,9.50,10.3,52.77181383983721,23.42951248940153,43.53854884432105,30.47762170242772,29.11206265698407,72.73266339325471,38.94997218977858,49.29319359847255,28.924440725322576,30.07970854548148,43.16742799295768,89.87256267632145,38.22347664943737,49.177385919868705
Rhode Island,2011,8.40,7.8,58.86086928289535,17.263851307980076,38.46350327351062,29.2077207981599,32.84437838223843,73.90577086733946,32.645930448080314,44.34028897853033,33.89126388017595,31.7508034646749,22.972140043035957,0.0,27.267703087496724,47.68716210411511
South Carolina,2011,12.00,10.7,52.546293267872095,24.662644725685823,52.8873170010771,46.986333457909396,36.016846748704644,72.34162756855979,36.92367305851842,45.99125718517774,32.28435050654692,29.522676905750345,47.711367781690065,0.0,42.11886280479404,51.561744025074454
South Dakota,2011,9.40,6.9,67.65617158953489,38.755584568934864,65.44137709729237,16.254731574628117,41.80193612284892,114.18246081091598,54.71007654402425,63.44434965545032,42.80232895211876,38.15666732158299,0.0,0.0,51.126943289056356,70.04051934041905
Tennessee,2011,11.20,11.3,59.5374309987907,24.662644725685823,63.57162346594116,64.51096593680535,38.06962039759455,81.72648736123783,40.97627132103874,58.4914450355081,32.86868264241202,32.30783510440603,45.691838986697896,121.44940902205602,43.579632613052794,58.416773577541
Texas,2011,10.20,9.7,47.133799540709305,19.730115780548658,43.53854884432105,36.06518568120614,32.65776259597572,60.219517003017344,30.169342620984562,38.679826555739226,20.597707789244865,22.977555138909466,37.36128270735519,99.18368403467908,29.945781069304438,42.62040113055287
Utah,2011,6.60,6.5,49.61452583232558,22.020218505076627,43.00433352107785,32.509463149256234,27.05928900809417,73.51473504264455,56.9615200232022,42.217615569983664,33.306931744310845,30.358224365347052,39.8856937010954,0.0,43.82309424776259,56.330460235485965
Vermont,2011,7.70,6.8,56.60566356324419,16.206880819736398,45.14119481405066,0.0,32.28453102345028,80.94441571184798,51.332911325257314,46.698814988026626,40.90324951055718,41.220341340104255,0.0,0.0,50.15309675021719,50.96565449877302
Virginia,2011,10.40,8.6,52.77181383983721,18.849307040345593,41.66879521296984,33.01742351096336,24.446668000416107,65.30298272405126,36.47338436268283,42.217615569983664,26.87927824979472,25.762713337565156,39.63325260172138,98.37402130786536,34.3280904940807,46.49498305151223
Washington,2011,8.90,7.6,45.78067610891861,17.616174804061302,38.730610935132226,27.683839713038513,23.3269732828398,68.04023349691569,35.34766262309385,36.0854479452933,23.811534536502933,25.762713337565156,32.31246071987475,51.41358315267038,36.03232193704924,46.19693828836151
West Virginia,2011,12.00,11.7,58.86086928289535,34.175379119878926,80.13229848648045,69.33658937302306,37.883004611331835,93.06652627739042,53.80949915235307,68.1614016744429,40.46500040865835,36.62483031232236,44.429633489827786,0.0,63.30002502454597,52.455878314526615
Wisconsin,2011,8.40,7.1,52.546293267872095,23.42951248940153,43.53854884432105,27.937819893892076,33.40422574102659,73.12369921794964,38.49968349394299,43.16102597378218,31.115686234816714,30.218966455414265,41.400340297339525,0.0,41.87540117008425,54.24414689343093
Wyoming,2011,8.20,7.2,57.50774585110465,20.43476277271111,53.42153232432031,0.0,29.29867844324679,95.41274122555994,45.25401393147685,55.89706642506217,38.27375489916422,37.46037777191907,0.0,0.0,39.684246457696126,73.02096697192626
Alabama,2012,12.20,11.7,54.72642792808814,26.43720462713108,59.878481568797426,57.33202306790489,34.23882560440554,71.55411753230321,43.939689346850464,48.53463422151613,28.927972369772135,35.567869397482646,56.714634238639725,0.0,50.42432864330992,65.40165788291031
Alaska,2012,6.90,7.9,40.94195172063737,17.785028567342728,41.43590924560782,0.0,40.321865686406525,72.78075954714268,42.11970221414068,41.60111504701382,26.07591875585094,25.334306974347292,0.0,0.0,48.89631868442174,61.554501536856755
Arizona,2012,10.70,9.4,52.05182806694098,21.95089111464823,45.02861813973566,34.1415418269546,34.06502445920551,75.23404357682165,39.51972059598385,44.143405410998,25.261046294730598,28.32949597624057,46.09476248877491,0.0,43.03894717535039,59.48295581205869
Arkansas,2012,11.20,11.2,59.0469353960951,25.315626249010368,63.231676536650085,60.123469883945205,33.02221758800535,80.95837297940591,47.059667288638664,50.84580727968356,30.286093138306036,35.942268022719304,51.96958515891289,0.0,45.58563044016402,64.51385257228257
California,2012,9.80,8.9,44.645243836071906,18.746381462874766,33.53194967852656,22.331574528322502,25.027364908804053,64.1942654432663,35.09975184511723,34.436478566694774,22.68061683451618,23.587113389909547,32.763434121923346,83.5060092542452,34.380224074984035,46.16587615264257
Colorado,2012,7.40,6.7,44.85098228692938,14.740744398157936,32.81340789970099,19.75485439043914,28.850990103204673,64.1942654432663,34.57975552148587,35.82318240159523,25.532670448437376,27.58069872576725,35.92680017507456,0.0,42.78427884886902,46.46181125618515
Connecticut,2012,9.10,9.3,53.903474124658246,18.90660694546344,36.16660286755365,24.049387953578083,33.3698198784054,69.91859484585055,41.85970405232499,40.21441121211336,27.977287831798407,30.575887727660525,37.7344379197324,0.0,39.98292725757403,54.15612394829225
