states,year,y,Slim,abdominal,apnea,autoregression data,calories,cholesterol,diabetic,diet,dietary,dresses plus size,exercise,food delivery near me,gastric,healthy,how to lose weight,inactivity,insulin,malnutrition,mcdonalds menu,mcdonalds near me,meals,nutrition,obese,pizza delivery,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weighing,weight loss,wellness
Louisiana,2012,34.7,128.2858484518459,101.21209724248216,82.6894505688571,33.4,103.19098659258614,86.19411644352053,74.75014388225063,93.27163109976782,68.1354347496465,100.26988697566138,87.7016124234207,211.38252694019167,86.61454287351853,83.1977966199364,77.94055782381189,58.5835116703144,79.62238076338768,48.731315164913184,124.34222014853223,108.95615582843125,76.26413197382209,73.92686146997005,83.31764294007918,70.94800924030119,65.66096482959931,0.0,84.56518980912102,66.91721988317407,70.58623055844693,106.82659486294271,29.412726842964464
Maine,2012,28.4,67.83701933841066,110.06815575119934,81.53295475670525,27.8,95.4997329335114,104.38861010682645,76.42365456618161,88.90804601907692,76.11526044104656,56.40181142380953,99.6609232084326,74.16930769831286,82.49004083192241,104.5129345969449,66.19609020652517,84.21379802607696,80.8197097974236,48.731315164913184,64.87420181662551,68.60202404012338,98.50783713285354,68.3823468597223,85.88126272285085,62.99122315727676,0.0,0.0,100.42116289833122,96.11746128674093,66.2136322052688,81.33388472519502,49.24921703938236
Maryland,2012,27.6,75.22520956338607,87.29543387164085,87.89368172354042,28.3,92.29504390889693,93.91299254310486,61.36205841080275,73.6354982366588,85.32275162343122,76.59505255085244,96.81346825962025,485.80896542394925,66.5812472429088,85.260551908034,68.33144795512275,112.5901864913855,73.03707107619022,66.77995041117732,88.52625456227022,73.9825749452311,71.8153909420158,72.69474711213722,82.03583304869335,96.14449850321189,50.35652941818894,0.0,97.11783517141242,83.95069403525474,66.2136322052688,91.0453933490989,41.041014199485296
Massachusetts,2012,22.9,67.16536568159471,89.1931606949374,75.17222778987009,22.7,113.44599147135247,86.56168197390998,49.647483623285865,74.72639450683153,60.76944180373878,45.260712870958265,85.4236484643708,196.5486654005291,71.88417843924667,85.94813700406654,58.722338086433616,66.82181799895237,70.04374849110044,55.349148088543366,77.0381146572428,176.21304214227771,64.18897774463359,78.85531890130139,74.98587864607126,95.4814329962932,31.102562287704934,0.0,90.51117971757485,78.47564877208596,64.96431839007505,77.08509970223707,34.20084516623775
Michigan,2012,31.1,69.8519803088585,87.29543387164085,77.48521941417378,31.3,94.21785732366561,77.92389205110875,66.3825904625957,74.18094637174516,71.20459847710806,61.27604204068196,81.4372115360335,300.3856961781671,60.68910146920006,81.82262642787134,69.39912682942155,68.65255273864969,71.24107752513635,65.57670806142639,112.17830730791495,127.78808399630826,71.17985650890061,71.46263275430438,78.19040337453585,74.2633367748947,47.88807209376791,62.529269653350596,92.49317635372611,70.56725005861993,59.967063129300044,83.761761881171,29.412726842964464
Minnesota,2012,25.7,66.49371202477876,86.66285826387535,78.06346732024971,25.7,107.03661342212352,86.74546473634798,57.45720014829712,73.6354982366588,74.88759495006194,48.742306168724284,83.14568450532092,311.511092332914,65.40281808816705,89.3860624842292,61.3915352721806,75.06012432759033,73.03707107619022,55.349148088543366,96.63552978934842,99.54019174449274,83.8905451712043,91.79251965854614,78.83130832022877,106.75354661391114,52.824986742609966,0.0,83.24385871835351,74.21728023406578,64.33966148247816,80.11994614720705,46.51314942608334
Mississippi,2012,34.6,134.33073136318941,106.27270210460627,90.20667334784412,34.9,95.4997329335114,97.40486506802102,101.52631482514637,97.6352161804587,87.77808260540046,139.26373191064081,104.78634211629486,89.00316923797544,87.2037574508894,83.88538171596893,103.56485080698293,72.31402221804434,86.80635496760311,54.7475269136679,111.5025343723251,84.74367675544653,87.7037517698954,64.6860037862238,108.31293582210293,44.42538896355308,89.85184660892536,0.0,87.20785199065605,74.8256185966401,84.32868252557819,119.57294993181657,29.412726842964464
Missouri,2012,29.6,77.24017053383392,96.15149238035805,82.11120266278118,30.3,107.67755122704641,87.29681302917544,72.51879630367598,83.4535646682133,76.72909318653886,61.27604204068196,84.28466648484586,519.18515388819,70.11653470713405,86.63572210009906,68.33144795512275,80.5523285466823,77.82638721233383,60.76373866242261,113.52985317909464,149.31028761673912,87.06821733678022,87.48011940613122,89.08578745131544,85.53545039251264,80.96540024100966,93.01874824465378,88.52918308142357,73.00060350891717,73.7095150964313,91.6523626380929,30.096743746289217
Montana,2012,24.3,67.16536568159471,86.66285826387535,95.98915240860335,24.6,101.26817317781746,97.03729953763157,71.96095940903231,99.2715605857178,111.10372693410828,57.79444874291593,104.21685112653238,103.837030777638,67.17046182027967,118.95222161362808,72.06832401516853,0.0,88.60234851865698,72.19454098505656,61.49533713867626,68.60202404012338,94.69463053416243,72.0786899332208,84.59945283146502,83.54625387175653,0.0,0.0,85.88652089988854,71.17558842119423,69.33691674325317,92.86630121608088,45.145115619433824
Nebraska,2012,28.6,71.86694127930635,96.15149238035805,90.78492125392003,28.4,119.85536952058142,88.95085790765779,73.6344700929633,86.72625347873148,81.02592240498504,68.239228636214,98.52194122890766,148.33861539662573,69.52732012976317,99.69983892471718,72.60216345231792,57.66814430046574,79.62238076338768,68.58481393580374,117.58449079263374,63.221473135015664,95.9656994003928,123.21143578328342,86.52216766854377,85.53545039251264,0.0,0.0,83.24385871835351,78.47564877208596,66.2136322052688,96.50811695004484,41.72503110281005
Nevada,2012,26.2,81.27009247472961,80.96967779398572,85.58069009923672,24.5,90.37223049412825,85.27520262581709,61.36205841080275,83.99901280329966,59.54177631275416,52.92021812604351,82.00670252579597,237.34178463460117,64.2243889334253,85.260551908034,76.3390395123637,67.73718536880102,66.45176138899274,43.31672459103394,128.39685776207133,52.460371324800235,71.17985650890061,68.99840403863871,74.98587864607126,114.71033269693557,0.0,0.0,84.56518980912102,74.8256185966401,69.96157365085004,86.18963903714696,34.20084516623775
New Hampshire,2012,27.3,65.15040471114688,88.56058508717189,86.73718591138856,26.5,96.1406707384343,95.01568912875976,68.61393804117034,87.27170161381784,93.91641006032357,60.57972338112875,96.24397726985778,77.8777730832285,75.41946590347192,110.01361536520517,65.12841133222638,82.38306328637962,85.60902593356721,86.03182800719242,77.0381146572428,76.67285039778496,94.05909610104725,73.31080429105363,99.34026658240211,74.2633367748947,0.0,0.0,105.04582171601751,98.55081473703818,68.08760292805943,83.154792592177,44.46109871610907
New Jersey,2012,24.6,77.91182419064987,82.86740461728226,72.28098825949047,23.7,92.93598171381981,93.72920978066686,57.45720014829712,77.99908331734969,67.5216020041542,62.668679359788364,89.97957638247058,337.47035002732355,65.40281808816705,83.88538171596893,76.8728789495131,68.65255273864969,67.64909042302864,54.7475269136679,77.0381146572428,73.9825749452311,58.46916784659694,63.45388942839096,76.2676885374571,56.36056808808973,37.0268598663154,0.0,100.42116289833122,77.86731040951165,77.45745654201255,83.761761881171,37.62092968286152
New Mexico,2012,27.1,78.58347784746582,94.25376555706151,88.47192962961634,26.3,87.80847927443666,96.48595124480413,85.34904488048019,88.36259788399056,89.00574809638509,57.09813008336273,100.79990518795755,100.12856539272236,70.11653470713405,89.3860624842292,74.20368176376611,69.56792010849836,86.20769045058516,60.16211748754714,98.66284859611797,0.0,77.53520084005245,66.53417532297304,84.59945283146502,79.56786083024433,0.0,0.0,98.43916626217994,81.51734058495751,94.32319304712819,91.0453933490989,80.71399459232109
New York,2012,23.6,75.89686322020202,80.3371021862202,68.233252916959,24.5,107.67755122704641,79.76171969754256,49.647483623285865,71.45370569631335,56.47261258529261,55.00917410470312,76.88128361793372,289.2603000234202,60.099886891829186,83.1977966199364,64.59457189507698,55.837409560768414,59.2677871847773,46.92645164028677,70.95615823693416,110.30129355470818,54.020426814790646,59.757546354892455,69.85863908052792,58.34976460884584,34.064711077010166,39.27458259218715,91.1718452629586,73.60894187149148,66.83828911286567,75.26419183525509,30.096743746289217
North Carolina,2012,29.6,74.55355590657012,90.45831191046842,80.95470685062934,29.1,96.7816085433572,89.13464067560925,67.49826425188303,81.81722026295422,69.97693298612344,66.8465913171076,92.82703133128294,315.2195577178297,76.59789505821367,86.63572210009906,73.66984232661672,69.56792010849836,73.63573559320817,58.35725396292072,116.23294492145403,79.36312585033882,83.25501073808911,76.39109018563572,80.75402315730751,79.56786083024433,64.17989043494669,79.58270683153712,87.20785199065605,69.3505733334713,69.33691674325317,98.93599410602081,43.093064909459564
North Dakota,2012,29.7,85.30001441562528,115.12876061332345,95.98915240860335,27.8,110.24130244673799,100.89673758742374,84.23337109119286,89.99894228924964,119.69738537100064,84.2545578059377,112.75921597296946,129.7962884720475,117.84291547417487,120.32739180569314,89.15118600394922,0.0,107.75961306323146,92.64966093082259,106.0963508876063,0.0,125.83581775680645,101.64943452120882,110.8765556048746,118.68872573844779,0.0,0.0,91.1718452629586,102.20084491248403,94.94784995472506,114.11022633087063,136.803380664951
Ohio,2012,30.1,72.5385949361223,96.78406798812357,81.53295475670525,29.7,105.75473781227772,92.62651319501195,78.0971652501126,82.36266839804058,84.70891887793891,69.63186595532041,88.84059440294564,278.13490386867323,65.40281808816705,94.88674325248945,73.13600288946732,86.95990013562295,78.42505172935178,64.97508688655091,125.69376601971193,98.19505401821583,80.71287300562838,90.56040530071331,86.52216766854377,71.61107474721989,77.50955998682024,95.60260236256083,87.20785199065605,74.21728023406578,77.45745654201255,91.6523626380929,38.98896348951103
Oklahoma,2012,32.2,84.62836075880934,98.04921920365459,94.8326565964515,31.1,101.26817317781746,91.52381660935706,92.04308761620413,89.99894228924964,73.046096713585,73.80977791263963,89.97957638247058,103.837030777638,74.83025132610105,93.51157306042438,87.01582825535164,98.85967594365555,82.0170388314595,64.97508688655091,106.77212382319615,49.77009587224637,94.69463053416243,88.09617658504764,92.29031217978002,70.94800924030119,73.06633680286238,0.0,81.92252762758599,83.34235567268043,69.33691674325317,101.36387126199678,30.780760649613974
Oregon,2012,27.3,68.5086729952266,81.60225340175124,80.95470685062934,26.7,94.85879512858851,91.1562510789676,70.28744872510133,83.99901280329966,69.36310024063114,45.957031530511465,90.54906737223305,148.33861539662573,54.20774111812044,97.63708363661958,55.51930146353724,86.04453276577428,74.23440011022612,62.568602187049024,66.90152062339506,60.53119768246181,80.71287300562838,68.3823468597223,87.80397755992959,108.07967762774854,32.08994521747334,0.0,94.4751729898774,85.77570912297767,59.967063129300044,80.11994614720705,48.565200136057605
Pennsylvania,2012,29.1,71.1952876224904,95.51891677259253,84.42419428708487,28.6,104.47286220243194,93.72920978066686,66.94042735723937,78.54453145243605,79.79825691400042,59.883404721575545,92.82703133128294,274.4264384837576,77.18710963558453,88.69847738819666,73.66984232661672,80.5523285466823,80.22104528040563,61.966981012173555,89.87780043344993,99.54019174449274,71.8153909420158,73.92686146997005,82.67673799438626,78.24172981640692,50.85022088307314,70.28083200707175,90.51117971757485,81.51734058495751,69.96157365085004,88.01054690412894,38.304946586186276
Rhode Island,2012,25.7,77.91182419064987,96.78406798812357,79.79821103847749,25.4,105.11380000735483,94.64812360388376,63.03556909473374,86.18080534364512,90.84724633286201,53.616536785596715,99.6609232084326,144.6301500117101,74.83025132610105,96.94949854058704,77.40671838666249,73.229389587893,76.03039366127997,78.81237390868675,83.12007107755143,43.04440724086173,75.6285975407069,79.47137608021781,92.93121712547293,97.47062951704929,0.0,0.0,112.97380826062262,95.50912292416663,62.46569075968754,91.0453933490989,42.40904800613481
South Carolina,2012,31.6,77.91182419064987,96.15149238035805,82.6894505688571,30.8,89.73129268920535,92.62651319501195,77.53932835546892,85.63535720855874,65.68010376767727,82.86192048683128,96.24397726985778,192.84020001561345,71.2949638618758,92.82398796439186,82.21127332100707,81.46769591653096,79.62238076338768,67.98319276092826,112.17830730791495,67.25688631384645,93.42356166793206,69.61446121755513,81.39492810300044,92.82917096861837,65.1672733647151,0.0,79.94053099143471,79.69232549723458,68.08760292805943,99.54296339501481,41.041014199485296
South Dakota,2012,28.1,79.92678516109771,115.76133622108897,115.64958121518475,28.1,113.44599147135247,100.16160653215829,94.83227208942243,97.6352161804587,119.69738537100064,72.41714059353322,113.32870696273193,37.08465384915643,76.59789505821367,116.20188122949796,89.15118600394922,0.0,119.73290340359051,114.30802322633957,109.47521556555554,45.734682693415586,123.29368002434572,105.34577759470733,113.44017538764626,69.62187822646378,0.0,0.0,119.5804637144602,101.59250654990973,72.46020128123754,108.6475027299247,117.65090737185785
Tennessee,2012,31.1,79.25513150428176,106.90527771237177,95.41090450252743,29.2,94.21785732366561,97.77243059289702,92.60092451084779,89.45349415416328,71.20459847710806,77.29137121040564,90.54906737223305,140.92168462679444,87.79297202826028,85.94813700406654,82.74511275815647,57.66814430046574,89.20101303567493,72.19454098505656,106.77212382319615,82.05340130289267,85.79714847054986,75.7750330067193,88.44488250562252,82.22012285791914,88.37077221427275,64.59635294767624,85.88652089988854,77.25897204693733,75.58348581922192,106.82659486294271,34.8848620695625
Texas,2012,29.2,93.35985829741665,86.66285826387535,71.12449244733862,30.4,99.98629756797168,80.86441628319746,66.3825904625957,82.90811653312694,57.08644533078492,59.187086062022345,78.02026559745867,556.2698077373465,72.47339301661755,84.57296681200147,76.3390395123637,52.17594008137376,62.85977428688501,47.52807281516224,99.33862153170782,95.50477856566197,74.99306310759172,75.15897582780289,73.06316380899251,86.19851589943136,63.686198970062485,66.66343624200188,77.29786880989968,64.48386643287684,61.84103385209067,95.29417837205686,29.412726842964464
Utah,2012,24.3,78.58347784746582,79.07195097068919,95.98915240860335,24.4,98.70442195812588,80.86441628319746,63.03556909473374,82.90811653312694,87.77808260540046,45.260712870958265,105.35583310605733,178.00633847595088,62.45674520131268,99.69983892471718,69.39912682942155,79.63696117683364,80.8197097974236,57.755632788045254,87.17470869109053,68.60202404012338,101.68550929842945,85.01589069046555,87.16307261423668,69.62187822646378,0.0,0.0,99.0998318075637,76.65063368436303,59.342406221703165,86.18963903714696,34.20084516623775
Vermont,2012,23.7,65.15040471114688,104.37497528130972,77.48521941417378,25.4,104.47286220243194,101.08052034986174,56.3415263590098,89.45349415416328,98.21323927876975,64.75763533844798,108.20328805486969,107.54549616255366,65.99203266553792,137.51701920650646,64.59457189507698,0.0,82.61570334847745,78.81237390868675,72.30770410811385,79.36312585033882,100.41444043219909,68.99840403863871,90.36759734270126,75.58946778873211,0.0,0.0,110.33114607908759,112.5425970762473,91.19990850914381,77.08509970223707,62.2455382025527
Virginia,2012,27.4,75.22520956338607,87.92800947940637,91.36316915999596,29.2,94.85879512858851,95.19947189671122,67.49826425188303,79.08997958752241,68.74926749513882,65.45395399800118,99.6609232084326,467.266638499371,64.81360351079618,85.94813700406654,70.46680570372034,86.04453276577428,64.05710332092092,58.9588751377962,87.85048162668038,59.18605995618488,79.44180413939802,73.31080429105363,82.03583304869335,94.15530198245578,69.11680508378873,65.62989459483906,89.85051417219108,82.12567894753181,67.46294602046254,89.83145477111093,37.62092968286152
Washington,2012,26.8,69.8519803088585,81.60225340175124,79.21996313240156,26.5,104.47286220243194,78.65902311188765,55.783689464366134,83.4535646682133,61.38327454923109,45.260712870958265,81.4372115360335,222.5079230949386,53.02931196337869,86.63572210009906,59.79001696073241,59.49887904016306,62.85977428688501,69.18643511067921,69.60461236575445,67.25688631384645,69.90878764267025,68.99840403863871,74.98587864607126,117.36259472461037,47.39438062888371,0.0,88.52918308142357,79.08398713466026,58.71774931410629,81.33388472519502,41.041014199485296
West Virginia,2012,33.8,87.31497538607313,124.61739472980615,90.20667334784412,32.4,97.4225463482801,109.71831027266298,111.56737892873227,98.18066431554506,88.39191535089277,108.62571089029983,110.48125201391957,152.04708078154138,96.04197611145251,90.76123267629426,106.23404799272991,146.458779175786,113.74625823341098,90.2431762313207,135.1545871179698,68.60202404012338,87.06821733678022,76.39109018563572,128.18098913858336,53.045240553496214,0.0,0.0,98.43916626217994,63.267189707728214,93.69853613953131,121.39385779879855,40.35699729616054
Wisconsin,2012,29.7,65.15040471114688,93.621189949296,79.79821103847749,27.7,96.1406707384343,85.09141985786563,66.94042735723937,74.18094637174516,89.00574809638509,67.5429099766608,89.41008539270811,200.25713078544473,61.8675306239418,92.82398796439186,68.33144795512275,74.14475695774166,74.23440011022612,57.154011613169786,116.9087178570439,48.42495814596945,81.34840743874356,78.85531890130139,85.88126272285085,84.20931937867525,45.913306234231094,0.0,85.22585535450479,77.25897204693733,81.2053979875938,82.54782330318301,47.19716632940809
Wyoming,2012,24.6,81.27009247472961,101.84467285024766,109.2888542483496,25,105.11380000735483,101.2643031178132,95.39010898406609,109.08962701727229,91.46107907835433,0.0,104.78634211629486,267.0095077139263,82.49004083192241,114.13912594140035,89.15118600394922,0.0,73.03707107619022,61.36535983729808,98.66284859611797,0.0,123.9292144574609,86.2480050482984,103.1856962565596,73.600271267976,0.0,0.0,106.36715280678504,74.21728023406578,86.82731015596568,105.61265628495474,58.82545368592893
Alabama,2013,32.4,90.50251219211954,107.10330958339958,94.45588746648787,33,90.32925800048635,98.24454706329547,100.46837245518958,89.60332281965898,85.05387586777947,116.5404959288943,96.891124687678,215.84169891165521,87.29617071494438,86.92977038754871,80.97494064286799,76.13870884262596,89.12362878840206,76.05403567520155,129.98100017730957,190.45843161488145,94.20927410781937,64.4863385671591,85.70329611445638,65.41339961148338,96.8658574382466,0.0,93.57938973358416,75.97124848881239,80.02729136193776,113.69332934284434,45.05614984373396
Alaska,2013,28.4,81.95109371727361,92.99389155444874,98.19143103860885,25.7,98.93204447672315,91.37696707453827,72.75295936410281,94.49077679164039,68.42680238986769,71.29536221532358,100.47968486129571,238.17015052320576,71.37422762857088,113.0793761138845,68.09256372241171,0.0,71.29890303072165,60.34039194065577,101.87700013897235,103.03488923428013,98.49151383999298,58.71926763838877,103.55814947163479,151.60517321720266,0.0,0.0,122.15324919422056,68.30442524682215,99.36722010773937,93.02181491687264,37.90438002726825
Arizona,2013,26.8,76.25014806737632,88.50453127250984,76.31181868761449,26,90.32925800048635,86.7985804153668,71.59815048530753,82.00061664102125,72.26381934630886,53.47152166149268,85.52735080455527,587.9825591041642,58.19744714329626,96.8242157975136,67.17239394237913,66.12045767912255,78.4287933337938,67.88294093323775,119.4420001629331,290.3710514784258,80.64884828926961,68.1562927945584,82.1323254430207,117.74411930067009,59.512356857484846,0.0,92.15069676055235,88.5169592484328,67.35630356296427,86.33397201435238,38.619557008914825
Arkansas,2013,34.6,141.8110230411952,109.02732113280197,88.5857475674406,34.5,95.85962073521,106.06595760223144,106.242416849166,95.57687767430292,91.44890412851477,104.88644633600488,102.27396494810456,178.62761289240433,84.5510081138455,98.94445409964894,80.97494064286799,63.448924035521635,89.12362878840206,81.08240167025619,142.27650019408208,118.64623608795893,100.63263370607979,71.30196784661494,93.44039923590036,72.33952427622869,117.75849335629981,0.0,108.58066595041828,66.91045738464211,86.6962323087659,114.30131506125527,39.334733990561396
California,2013,24.1,76.96276627361347,75.03645042669312,69.37438062510408,25,102.00446821823628,81.07559709140246,54.85342174277592,76.57011222770859,58.83425999876474,47.30173070055122,83.73307071774641,550.7684730849134,51.60905690065894,104.59842290534316,63.95179971226506,77.47447566442642,61.19822510136942,57.197663193746614,97.48575013298216,368.42778574681984,66.37471584869093,61.34066351510256,68.44360453585058,97.73531471362811,43.684602374111215,40.561196287132205,105.72328000435463,85.7290235240727,68.02319765764709,76.60620051977747,35.758849082328545
Colorado,2013,21.3,70.54920241747901,84.01517099057094,78.44641501454078,20.5,90.94374274878898,79.16793597959904,54.85342174277592,77.11316266903985,67.78729956379416,41.81747206860325,86.12544416682489,617.753827919565,54.9032520219776,97.53096189822539,61.19129037216729,63.448924035521635,68.9222729296976,59.083300441892106,90.45975012339787,312.22693707357615,87.78591450955896,69.72913032058668,71.41941342871365,134.67464625893638,40.51905147743649,0.0,95.7224291931319,81.54711993753257,64.68872718423302,80.862100548654,53.638273623492815
Connecticut,2013,25,71.26182062371618,87.22185690624158,73.64357327895664,25.6,91.55822749709161,98.62607928107779,60.62746613675234,77.65621311037111,74.18232782452947,63.06897426740162,92.10637778952106,416.79776341561006,75.7664877903291,96.11746969680182,66.71230905236283,78.81024248622687,74.86384818225773,68.51148668261958,93.97275012819001,181.09162350267417,73.51178206898027,58.71926763838877,85.70329611445638,105.43100878556734,35.45417004275693,0.0,108.58066595041828,85.03203959298268,71.35766813106116,81.47008626706493,38.619557008914825
Delaware,2013,31.1,83.37633012974793,101.33127493519243,81.6483095049302,26.9,102.61895296653891,110.26281204362058,68.13372384892168,85.80196973034012,99.76244086747064,83.6349441372065,116.62820564257537,736.8389031811678,92.23746339692237,107.42540730819027,74.53375218263984,0.0,79.02295085904983,37.084199213528024,122.07675016652722,315.3492064443119,94.9229807298483,79.1661554767563,103.55814947163479,94.65703708485243,0.0,0.0,129.29671405937967,90.60791104170286,116.70646656949255,96.66972922733824,42.19544191714768
District of Columbia,2013,22.9,73.39967524242766,84.65650817370506,79.51371317800391,21.9,122.89694966052565,88.89700763033842,55.43082618217356,72.22570869705845,76.74033912882358,65.81110358337561,89.7140043404426,818.7098924235198,60.39357722417536,94.70397749537827,54.29001702192286,70.12775814452391,58.82159500034536,87.3678591640745,93.97275012819001,474.5849443518357,77.79402180115387,81.26327217812732,71.41941342871365,121.5919663366397,34.821059863421986,0.0,80.0068064897819,90.60791104170286,65.35562127891583,88.76591488799612,46.486503807027105
Florida,2013,26.4,79.10062089232495,91.71121718818048,74.71087144241979,25.2,91.55822749709161,87.56164485665438,67.55631940952404,80.91451575835872,69.70580804201475,54.84258631947967,87.32163089136412,841.0383440350704,61.49164226461491,96.8242157975136,61.65137526218358,59.44162357012027,67.73395787918557,57.82620894312845,126.4680001725174,443.36225064447814,75.65290193506708,60.8163843397598,72.01457520728627,120.05282752225186,54.44747542280528,61.881825104727334,83.57853892236143,79.4561681442625,64.68872718423302,86.94195773276331,38.619557008914825
Georgia,2013,30.3,84.80156654222225,89.14586845564396,73.10992419722507,29.1,93.4016817419995,83.55555652987935,65.24670165193346,77.65621311037111,57.55525434661769,82.26387947921951,84.33116408001604,922.9093332774223,61.49164226461491,84.1027859847016,68.09256372241171,76.13870884262596,65.3573277781615,54.68348019621929,122.07675016652722,483.951752464043,85.64479464347215,60.292105164417045,72.01457520728627,90.80919004888283,72.80767062351869,74.88220853009022,84.29288540887734,68.30442524682215,64.68872718423302,99.7096578193929,35.043672100681974
Idaho,2013,29.6,86.22680295469658,94.91790310385113,101.39332552899828,26.8,98.93204447672315,86.60781430075268,80.25921707627214,91.77552458498405,99.76244086747064,58.95578029344065,107.05871184626149,215.84169891165521,75.7664877903291,114.49286831530806,68.55264861242802,58.105856748319816,90.9061013641701,106.85277739491126,86.94675011860572,90.54581175133708,106.34228668231127,71.8262470219577,102.96298769306217,86.19177360571929,0.0,0.0,132.1541000054433,78.75918421317249,70.02387994169553,97.27771494574917,44.34097286208739
Illinois,2013,29.4,71.26182062371618,87.22185690624158,71.50897695203037,28.1,103.23343771484154,83.55555652987935,61.78227501554762,74.94096090371478,65.22928825950004,69.23876522834308,82.53688399320718,751.7245375888682,52.70712194109849,91.87699309253115,66.71230905236283,70.12775814452391,65.3573277781615,55.31202594560112,145.78950019887424,624.4538741471523,72.0843688249224,74.97192207401424,75.58554587872194,92.34832886327067,55.713695781475174,63.96188645278539,90.72200378752053,102.45663787023324,66.68940946828145,82.07807198547586,37.90438002726825
Indiana,2013,31.8,73.39967524242766,99.40726338579003,80.04736225973548,31.4,94.63065123860474,95.76458761909562,83.14623927326035,79.82841487569618,86.33288151992653,80.89281482123252,96.891124687678,372.140860192509,62.040674784834685,98.94445409964894,69.4728183924606,82.14965954072801,103.9775669198024,75.42548992581972,151.05900020606245,184.21389287340992,94.9229807298483,76.54475960004251,94.03556101447298,90.80919004888283,90.53475564489716,71.2421011709886,98.57981513919555,91.30489497279288,79.36039726725494,88.76591488799612,37.18920304562168
Iowa,2013,31.3,71.26182062371618,96.20057747011938,82.71560766839333,30.4,97.08859023181526,90.42313651863655,79.6818126368745,78.19926355170239,101.04144651961771,78.15068550525854,96.29303132540838,245.61296772705595,68.08003250725223,112.37263001317272,63.49171482224876,72.79929178812482,78.4287933337938,93.65331665789282,118.56375016173507,140.50212168310927,107.76969992636913,77.59331795072802,96.41620812876343,108.50928641434302,70.90834008551386,0.0,94.29373622010009,91.30489497279288,96.69964372900812,89.98188632481798,47.20168078867368
Kansas,2013,30,84.0889483359851,94.276565920717,76.31181868761449,29.9,92.17271224539424,84.70015319467223,75.639981561091,76.57011222770859,80.57735608526475,60.32684495142764,85.52735080455527,498.66875265796205,59.844544703955584,91.87699309253115,71.31315795252578,72.1314083772246,77.8346358085378,55.31202594560112,126.4680001725174,299.7378595906331,97.77780721796405,71.8262470219577,84.51297255731116,103.12230056398558,51.9150347054655,0.0,102.15154757177508,66.91045738464211,78.0266090778893,89.37390060640705,32.89814115574226
Kentucky,2013,33.2,81.95109371727361,106.46197240026545,86.45115124051432,31.3,95.85962073521,91.9492654069347,93.53951918241789,84.71586884767758,78.65884760704417,97.34559071707642,92.10637778952106,379.5836773963592,80.1587479520873,90.4635008911076,83.73544998296576,72.1314083772246,96.25351909147422,69.76857818138323,158.08500021564674,290.3710514784258,92.06815424173257,69.72913032058668,93.44039923590036,80.0352183481679,106.36251012827078,49.92147235339348,97.86546865267962,76.66823241990242,79.36039726725494,107.00548644032409,35.758849082328545
Louisiana,2013,33.1,141.09840483495802,100.68993775205828,82.71560766839333,34.7,101.38998346993365,88.70624152144725,81.41402595506743,92.86162546764658,65.86879108557358,130.93667483775772,90.91019106498183,372.140860192509,92.23746339692237,95.41072359609005,76.83417663272132,62.11315721372118,84.37036858635395,58.45475469251028,144.03300019647816,287.24878210769003,86.35850126550109,69.72913032058668,73.80006054300411,83.1134959769436,94.96652690024177,0.0,92.86504324706826,71.78934490227226,66.68940946828145,105.18152928509129,31.467787192449116
Maine,2013,28.9,66.9861113862932,108.38598394966785,80.04736225973548,28.4,92.17271224539424,110.6443442614029,78.52700375807922,87.97417149566519,87.61188717207358,70.60982988633008,101.07777822356532,186.0704300962545,82.90391055318618,112.37263001317272,61.19129037216729,76.13870884262596,87.93531373789003,90.51058791098366,93.97275012819001,202.94750909782448,106.34228668231127,60.8163843397598,99.98717880019912,72.33952427622869,0.0,0.0,96.43677567964781,98.2747342836931,70.02387994169553,82.07807198547586,55.06862758678596
Maryland,2013,28.3,77.67538447985063,91.06988000504636,87.51844940397746,27.6,92.78719699369687,96.33688595149205,66.40151053072874,75.48401134504606,87.61188717207358,82.949411808213,99.28349813675646,848.4811612389205,71.92326014879066,93.99723139466649,67.17239394237913,94.17156093693211,74.26969065700172,69.1400324320014,100.12050013657628,284.1265127369543,79.22143504521175,66.58345526853013,82.1323254430207,108.50928641434302,48.74948380879078,0.0,99.29416162571145,92.69886283497293,77.35971498320649,89.98188632481798,42.91061889879425
Massachusetts,2013,23.6,67.69872959253037,85.93918253997332,71.50897695203037,22.9,107.53483095295994,90.04160429513128,52.543803985185356,74.39791046238352,63.31077978127945,53.47152166149268,88.51781761590335,446.5690322310108,71.37422762857088,93.29048529395472,57.050526362020626,75.47082543172573,74.86384818225773,61.597483439419435,85.19025011620964,490.1962912055145,71.37066220289347,69.20485114524391,74.39522232157672,100.81359234240381,51.9150347054655,0.0,94.29373622010009,89.21394317952281,65.35562127891583,76.60620051977747,34.3284951190354
Michigan,2013,31.5,71.97443882995334,91.71121718818048,73.64357327895664,31.1,98.93204447672315,84.50938708578106,72.75295936410281,77.11316266903985,72.26381934630886,70.60982988633008,86.12544416682489,587.9825591041642,64.78583738593356,91.87699309253115,67.63247883239542,80.81389271892756,73.67553313174571,67.88294093323775,143.15475019528012,396.5282100834417,79.93514166724069,65.53489691784462,84.51297255731116,86.19177360571929,71.5414502648488,79.56234656322086,100.72285459874327,79.4561681442625,68.02319765764709,85.11800057753052,32.89814115574226
