states,year,y,aerobic exercise,best workout,bike helmet,bike laws,bike locks,bike repair,bike sale,bodybuilding,bodybuilding,calories,e-bike,ejercicios,exercise,exercises,fitbit,fitness,fitness gym,gym,gym near me,how to exercise,iPod,insanity workout,ipod reset,jogging,my fitness pal,pokemon go,pre workout,quinoa gluten free,t25 schedule,trainer,workout,yoga
Michigan,2011,76.4,72.0,74.5,45.0,0.0,0.0,51.0,48.5,47.5,47.5,78.5,56.0,30.5,69.0,70.5,48.0,71.5,54.0,51.0,20.5,76.5,78.0,49.5,0.0,56.5,56.0,0.0,45.5,0.0,100.0,75.5,66.5,46.0
Minnesota,2011,78.1,54.0,66.0,70.5,0.0,0.0,56.5,43.5,40.5,40.5,87.0,34.5,21.5,68.0,64.0,79.5,98.5,43.0,51.5,11.0,65.0,67.0,46.0,0.0,64.0,65.5,0.0,44.5,0.0,0.0,70.0,61.5,49.0
Mississippi,2011,64,82.0,83.5,0.0,0.0,0.0,0.0,0.0,63.5,63.5,76.5,0.0,14.5,80.5,82.0,22.5,49.5,0.0,38.0,7.5,0.0,65.5,71.5,0.0,66.0,65.5,0.0,48.0,0.0,0.0,74.0,78.0,19.5
Missouri,2011,71.6,69.0,75.0,50.0,0.0,0.0,0.0,42.5,51.5,51.5,82.5,27.0,33.5,70.5,72.5,84.5,69.5,53.0,58.0,23.0,75.5,65.0,63.5,0.0,64.5,72.0,0.0,50.0,0.0,0.0,78.5,71.5,32.0
Montana,2011,75.6,0.0,0.0,89.5,0.0,0.0,0.0,100.0,56.5,56.5,81.5,0.0,9.5,91.0,86.5,56.5,57.5,0.0,63.5,0.0,0.0,93.0,74.5,0.0,64.5,50.5,0.0,57.0,0.0,0.0,89.5,79.5,57.5
Nebraska,2011,73.7,69.5,84.5,49.0,0.0,0.0,0.0,0.0,60.5,60.5,89.0,23.0,28.5,75.0,75.5,53.0,75.5,52.5,49.5,14.5,78.5,78.0,74.5,0.0,73.0,75.5,0.0,95.0,0.0,0.0,83.0,81.5,33.5
Nevada,2011,75.7,44.5,71.0,57.0,0.0,0.0,0.0,0.0,74.0,74.0,75.0,0.0,59.0,66.0,68.0,49.0,78.5,67.0,73.0,11.0,79.5,70.5,67.0,0.0,50.5,44.5,0.0,60.0,0.0,0.0,90.0,74.0,48.5
New Hampshire,2011,77.6,0.0,0.0,69.5,0.0,0.0,0.0,0.0,44.0,44.0,75.5,0.0,12.0,79.5,84.0,60.5,73.0,64.0,83.5,10.5,0.0,86.0,43.0,0.0,56.5,62.5,0.0,51.5,0.0,0.0,88.0,78.0,71.0
New Jersey,2011,73.6,63.0,82.0,52.5,0.0,39.0,30.0,41.5,65.0,65.0,73.5,31.5,60.5,72.0,78.5,49.0,83.0,100.0,89.5,86.0,91.0,81.0,56.5,97.5,57.5,35.5,0.0,65.0,0.0,49.0,77.5,75.0,50.0
New Mexico,2011,74.7,88.5,0.0,68.5,0.0,0.0,0.0,0.0,66.0,66.0,72.0,0.0,53.5,81.0,86.5,57.5,76.5,0.0,62.5,0.0,0.0,84.0,72.0,0.0,65.5,56.5,0.0,49.0,0.0,0.0,85.0,77.5,60.0
New York,2011,73.7,50.5,67.5,49.5,0.0,59.0,33.0,31.5,49.0,49.0,93.5,45.0,53.5,61.5,63.5,44.0,72.0,73.5,87.5,38.0,68.0,61.5,44.0,75.0,55.0,35.5,0.0,45.5,91.0,0.0,64.0,61.0,69.5
North Carolina,2011,73.3,63.5,77.0,48.0,0.0,0.0,0.0,47.5,58.0,58.0,75.5,26.5,34.0,74.5,75.5,44.5,67.0,60.5,68.5,14.5,83.0,69.5,62.0,0.0,65.5,63.0,0.0,44.0,0.0,47.0,76.0,74.0,40.5
North Dakota,2011,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,90.0,0.0,0.0,96.0,91.5,86.5,64.0,0.0,48.0,0.0,0.0,96.0,82.5,0.0,62.5,74.0,0.0,91.5,0.0,0.0,94.5,90.0,26.0
Ohio,2011,73,63.5,84.0,40.5,0.0,0.0,41.0,43.5,55.5,55.5,80.0,39.0,15.5,71.5,75.0,43.5,59.5,38.0,47.0,19.0,77.0,79.5,58.5,0.0,60.0,63.5,0.0,66.0,0.0,0.0,78.0,71.0,35.5
Oklahoma,2011,68.8,60.5,94.0,39.5,0.0,0.0,0.0,0.0,66.0,66.0,80.0,0.0,37.5,74.0,74.0,44.0,56.0,51.5,60.5,22.0,84.0,63.5,67.0,0.0,65.5,67.0,0.0,81.5,0.0,0.0,85.0,81.5,26.0
Oregon,2011,80.3,70.5,64.0,96.5,0.0,100.0,100.0,65.5,46.5,46.5,82.0,97.0,24.0,72.5,68.5,61.5,81.0,48.5,58.0,10.5,69.5,69.0,35.0,0.0,71.5,62.0,0.0,36.0,0.0,0.0,84.5,57.5,64.0
Pennsylvania,2011,73.8,71.0,76.5,56.0,0.0,0.0,35.0,43.0,53.5,53.5,83.0,37.5,19.5,74.0,79.0,49.0,74.0,63.0,70.5,23.0,81.0,75.5,55.0,86.5,57.0,53.0,0.0,52.0,0.0,0.0,75.5,68.0,47.0
Rhode Island,2011,73.8,69.5,82.5,0.0,0.0,0.0,0.0,0.0,57.0,57.0,86.0,0.0,34.0,79.0,87.5,52.5,76.0,84.5,93.5,20.5,0.0,82.0,50.5,0.0,56.0,47.5,0.0,67.5,0.0,0.0,79.0,74.5,72.0
South Carolina,2011,72.8,78.5,86.0,39.5,0.0,0.0,31.0,48.5,55.5,55.5,72.0,0.0,23.5,77.5,79.5,45.5,55.5,50.0,70.0,32.5,97.5,74.5,62.0,0.0,67.5,61.0,0.0,54.5,0.0,0.0,79.5,73.5,34.5
South Dakota,2011,73.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,70.5,93.5,0.0,13.5,99.0,92.5,96.5,65.5,0.0,49.5,0.0,0.0,96.0,100.0,0.0,78.0,74.5,0.0,87.5,0.0,0.0,100.0,100.0,27.0
Tennessee,2011,64.9,53.5,82.0,45.0,0.0,0.0,0.0,44.0,58.0,58.0,76.0,21.0,22.5,77.5,79.5,52.0,50.5,38.0,47.5,17.0,88.0,71.0,58.5,0.0,65.5,69.0,0.0,51.5,0.0,0.0,82.0,78.0,32.0
Texas,2011,72.8,51.0,76.5,36.0,0.0,28.5,36.0,35.5,54.5,54.5,83.0,21.0,67.0,61.5,63.0,42.0,81.5,54.0,66.0,15.5,72.0,58.0,60.0,75.5,64.0,49.0,0.0,60.5,63.5,15.0,67.5,71.0,35.0
Utah,2011,81.1,76.0,83.5,75.0,0.0,0.0,0.0,66.5,66.0,66.0,84.5,0.0,36.0,87.0,75.0,58.0,73.5,80.5,99.5,17.5,96.5,93.0,65.0,0.0,100.0,80.0,0.0,59.5,0.0,0.0,90.0,72.0,43.0
Vermont,2011,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,38.5,83.0,0.0,15.5,85.0,88.0,55.5,86.0,0.0,65.5,0.0,0.0,82.5,46.0,0.0,71.5,41.5,0.0,44.0,0.0,0.0,74.0,71.0,100.0
Virginia,2011,75,53.5,77.0,55.5,0.0,0.0,45.0,41.5,53.0,53.0,76.5,50.5,38.0,76.0,79.0,60.5,66.0,65.0,88.0,29.5,82.0,70.5,56.5,100.0,65.0,52.0,0.0,44.0,0.0,0.0,78.5,72.5,47.0
Washington,2011,78,61.5,67.5,84.0,0.0,0.0,64.0,52.0,52.5,52.5,84.0,60.0,22.0,67.0,64.5,82.0,81.0,56.0,68.0,11.5,62.5,63.0,44.0,86.5,69.0,49.5,0.0,44.0,0.0,0.0,81.0,60.5,70.0
West Virginia,2011,64.9,0.0,100.0,60.0,0.0,0.0,0.0,0.0,62.0,62.0,78.5,0.0,5.0,90.0,85.5,32.0,40.5,0.0,49.5,11.0,0.0,88.5,73.0,0.0,54.0,80.5,0.0,57.5,0.0,0.0,85.5,79.0,26.0
Wisconsin,2011,77.3,77.5,69.5,60.5,0.0,0.0,53.0,54.5,40.5,40.5,77.0,53.0,27.5,74.0,76.5,53.5,65.0,42.5,60.5,17.5,72.0,78.5,53.5,0.0,60.0,73.0,0.0,46.5,0.0,0.0,78.0,64.5,41.5
Wyoming,2011,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,63.5,91.5,0.0,28.5,96.0,100.0,80.0,58.0,0.0,52.5,0.0,0.0,100.0,72.5,0.0,94.0,100.0,0.0,65.5,0.0,0.0,98.0,86.0,53.0
Alabama,2012,72.8,89.1265070048295,119.95814193650816,50.389827016275184,0.0,0.0,0.0,0.0,81.16203105820979,81.16203105820979,90.8325154400876,0.0,37.13500029039138,97.31072325619095,97.22640747453299,175.82501401983936,64.09253488045299,54.501496016268916,65.2481472531719,27.724388305098767,123.50025055441654,68.79353446623458,136.78772468707692,0.0,78.80219820983105,150.2533498561442,0.0,106.32305234144306,0.0,0.0,87.90767732670555,110.35229788130623,33.74600143967121
Alaska,2012,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.65384809661707,98.65384809661707,105.75500011953056,0.0,19.48065589004138,101.97231478942166,99.61233158433748,284.76007705387025,71.07290996644291,0.0,82.44993152900811,16.9426817420048,0.0,64.43338087330422,131.52665835295858,0.0,89.97981497718297,134.3173885077653,0.0,98.1443560074859,0.0,0.0,106.41455676390672,110.35229788130623,82.21753078028986
Arizona,2012,77.4,77.6480932239045,114.2796500105196,63.12571736104803,0.0,0.0,68.19152733900934,57.60233875802439,90.25777591818157,90.25777591818157,97.32055225723671,100.8286250689029,56.61565618043276,85.07404548146036,88.27919206276616,219.7812675247992,125.0121719945469,89.33750377924493,77.1114467537486,47.74755763655899,93.24268916858449,65.88676540428101,132.57887161978223,0.0,67.06570060411153,100.16889990409615,0.0,133.31275024350168,0.0,0.0,92.53439718600585,104.86895388720406,68.71913020442138
Arkansas,2012,68.5,127.61295321146044,131.31512578848526,54.81970191880487,0.0,0.0,0.0,0.0,72.76595887977429,72.76595887977429,105.10619643781565,0.0,49.31041022166724,100.80691690611398,100.80529363923972,200.66985295742535,69.16917130662748,0.0,72.95929192854675,23.61707151915821,0.0,64.91784238362982,129.42223181931124,0.0,92.21533833065335,157.08304757687804,0.0,97.32648637409018,0.0,0.0,100.46591694480634,111.72313387983176,36.20025608982912
California,2012,80.8,68.87048268555007,105.0521006307882,83.61388878524784,109.88857938718661,90.33118166319217,61.72079846742451,64.34855861256779,86.05973982896383,86.05973982896383,102.510981710956,113.73468907772246,68.79106611170862,81.57785183153733,81.7179007608038,258.00409665954686,118.03179690855697,77.53821082726918,89.56791122935414,49.801216029529265,96.94769668521698,63.46445785265303,107.32575321601419,67.79863743533893,68.18346228084673,80.8180896953503,0.0,122.68044500935737,197.94370012603426,0.0,83.28095746740526,99.38560989310189,87.73960374314515
Colorado,2012,83,69.54568349619272,111.44040404752533,89.15123241340994,0.0,110.02745435667016,84.61722370534005,72.65159843354428,73.46563156131059,73.46563156131059,99.26696330238146,86.30930305898087,54.18057419417759,85.07404548146036,88.27919206276616,252.27067228933473,107.24394450293617,58.99646475987873,73.55245690357559,43.12682625237586,85.8326741353195,59.58876577004826,106.27353994919052,0.0,68.74234311921431,113.8282953455638,0.0,95.69074710729875,0.0,0.0,88.5686373066056,98.01477389457634,96.9430586812373
Connecticut,2012,77.9,72.92168754940596,107.89134659378249,62.01824863541561,0.0,0.0,41.810863477932735,57.60233875802439,72.76595887977429,72.76595887977429,91.48131912180251,0.0,86.44541051205863,87.40484124807571,94.8404833647285,240.80382354891043,104.70562628984894,82.03317957087899,87.1952513292388,34.39877808225217,98.18269919076114,68.30907295590899,103.11690014871952,0.0,63.15353473553836,119.51971011284199,0.0,102.23370417446448,0.0,0.0,85.26383740710538,91.8460119012114,75.46833049235562
Delaware,2012,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.35679396279045,92.35679396279045,103.15978539267091,0.0,43.222705256029315,106.63390632265236,115.12083829806667,240.80382354891043,96.45609209731538,0.0,88.97474625432531,62.63658098559351,0.0,81.87399524502567,142.04879102119526,0.0,66.50681976574393,134.3173885077653,0.0,107.14092197483878,0.0,0.0,105.09263680410663,117.89189587319672,65.03774822918452
District of Columbia,2012,82.6,56.04166728333977,93.6951167788111,76.41534206863709,0.0,0.0,52.76132772215321,45.147779026559654,64.3698867013388,64.3698867013388,129.76073634298228,77.43638405291742,49.31041022166724,80.41245394822965,80.52493870590156,215.95898461132444,102.80188763003349,85.40440612858634,116.26033510565173,65.20365397680635,81.51016536591492,34.39676723311729,113.6390328169562,0.0,67.62458144247913,105.86031467137434,0.0,86.69418113994588,0.0,0.0,68.73983790960435,91.8460119012114,84.67178543044777
Florida,2012,76.7,78.9984948451898,114.98946150126817,48.17488956501034,0.0,35.99663630187357,53.2590760968905,57.08339876921336,86.75941251050011,86.75941251050011,95.37414121209198,54.85077203748317,120.53655831963104,87.98754018972954,88.27919206276616,172.0027311063646,100.89814897021806,85.40440612858634,86.60208635420996,53.39511821722725,103.1227092129378,61.04215030102505,114.69124608377987,71.16751382964149,74.33115150289028,83.09465560226157,0.0,122.68044500935737,0.0,0.0,87.24671734680551,101.44186389089019,52.15291131585551
Georgia,2012,76.4,70.89608511747802,104.34228914003964,39.315139759950966,0.0,0.0,36.33563135582249,43.07201907131554,69.26759547209284,69.26759547209284,96.0229448938069,42.751337029214824,85.22786951893103,82.743249714845,84.10382487060829,185.3807213035263,90.11029656459726,69.67201552595202,75.92511680369093,49.287801431286695,101.27020545462156,58.61984274939707,113.6390328169562,0.0,74.33115150289028,120.65799306629764,0.0,93.2371382071116,0.0,0.0,79.315197588005,100.75644589162742,41.72232905268441
Idaho,2012,79.7,95.878515111256,117.82870746426245,98.01098221846931,0.0,0.0,0.0,93.4091979859855,139.93453630725824,139.93453630725824,103.15978539267091,0.0,30.438524828189657,110.1300999725754,99.61233158433748,311.51605744819364,70.4383304131711,0.0,79.48410665386393,47.74755763655899,0.0,93.50107149283996,128.37001855248755,0.0,85.5087682702422,179.8487066459908,0.0,136.58422877708455,0.0,0.0,109.71935666340693,112.40855187909455,60.1292389288687
Illinois,2012,78.2,70.22088430683537,110.02078106602819,59.803311184150765,0.0,65.8806362505988,56.24556634531427,51.89399888110305,73.46563156131059,73.46563156131059,115.48705534525423,50.81762703472705,54.78934469074138,81.57785183153733,84.70030589805941,233.1592577219609,107.878524056208,60.12020694578118,72.95929192854675,54.935362011954965,92.00768666304032,57.65091972874588,105.22132668236685,66.95641833676329,72.0956281494199,128.6259737404871,0.0,117.77322720898309,0.0,0.0,74.68847772870471,98.7001918938391,66.26487555426347
Indiana,2012,74.1,130.98895726467367,112.86002702902246,55.92717064443729,0.0,0.0,46.78834722530568,57.60233875802439,70.66694083516542,70.66694083516542,98.61815962066653,0.0,34.09114780757241,99.05882008115248,97.82288850198411,256.0929552028095,80.59160326552009,51.692140551512786,57.53700257779703,33.37194888576703,116.09023552115154,81.38953373470007,133.63108488660592,0.0,73.21338982615508,161.6361793907006,0.0,97.32648637409018,0.0,0.0,92.53439718600585,105.55437188646683,45.40371102792127
Iowa,2012,76.9,106.68172808153835,123.507199390251,68.66306098921014,0.0,0.0,0.0,78.87887829927664,79.06301301360091,79.06301301360091,104.45739275610075,0.0,19.48065589004138,98.47612113949863,97.22640747453299,324.89404764535533,82.49534192533552,50.568398365610335,62.87548735305655,26.184144510371056,105.59271422402614,82.35845675535126,125.21337875201655,0.0,84.391006593507,226.51830773767196,0.0,152.94162144499887,0.0,0.0,93.85631714580593,112.40855187909455,52.76647497839499
Kansas,2012,77.1,126.93775240081779,132.7347487699824,64.78692044949666,0.0,0.0,0.0,59.67809871326851,79.76268569513721,79.76268569513721,102.510981710956,136.3203010931567,42.613934759465515,97.8934221978448,94.24400233727738,311.51605744819364,80.59160326552009,44.38781634314685,57.53700257779703,23.10365692091564,108.68022048788654,71.21584201786256,147.3098573553136,0.0,87.74429162371258,180.98698959944645,0.0,130.04127170991882,0.0,0.0,99.8049569649063,113.77938787762008,49.08509300315813
Kentucky,2012,70.3,89.1265070048295,117.82870746426245,49.83609265345897,0.0,0.0,0.0,0.0,72.066286198238,72.066286198238,103.15978539267091,0.0,59.050738166687935,94.39722854792177,97.22640747453299,215.95898461132444,64.7271144337248,46.073429622000525,58.13016755282587,22.076827724430498,122.26524804887237,72.18476503851375,129.42223181931124,0.0,72.0956281494199,170.7424430183457,0.0,103.0515738078602,0.0,0.0,97.16111704530614,107.61062588425514,45.40371102792127
Louisiana,2012,70.1,76.97289241326185,120.66795342725672,50.94356137909139,0.0,0.0,0.0,59.159158724457484,86.75941251050011,86.75941251050011,104.45739275610075,0.0,77.31385306360173,89.15293807303722,92.454559254924,154.80245799572813,79.32244415897647,50.006527272659106,64.06181730311422,25.670729912128486,111.76772675174696,49.899535563536354,131.52665835295858,0.0,88.30317246208017,102.44546581100742,0.0,131.67701097671025,0.0,0.0,83.28095746740526,113.09396987835731,42.335892715223885
Maine,2012,79.1,0.0,106.47172361228534,109.08566947479353,0.0,0.0,0.0,0.0,64.3698867013388,64.3698867013388,95.37414121209198,0.0,0.0,101.97231478942166,104.98066083139759,248.44838937585996,81.2261828187919,0.0,78.8909416788351,80.09267732584088,0.0,77.9983031624209,108.37796648283786,0.0,74.33115150289028,201.47608276164792,0.0,83.42270260636302,0.0,0.0,104.43167682420659,90.47517590268585,80.99040345521091
Maryland,2012,76.9,91.15210943675746,99.37360870479965,63.12571736104803,0.0,0.0,44.299605351619206,51.89399888110305,68.56792279055654,68.56792279055654,92.13012280351742,63.72369104354662,45.657787242284485,97.8934221978448,94.8404833647285,273.293228313446,93.28319433095632,92.70873033695229,100.83804575490201,74.44511674517261,112.38522800451905,67.3401499352578,116.79567261742721,0.0,76.00779401799306,130.90253964739838,0.0,81.78696333957159,0.0,0.0,87.24671734680551,97.32935589531357,64.42418456664504
Massachusetts,2012,80.2,50.64006079819858,108.60115808453105,77.52281079426952,0.0,0.0,55.25006959583968,44.62883903774863,67.86825010902025,67.86825010902025,115.48705534525423,66.95020704575151,34.699918304136204,85.65674442311419,88.27919206276616,273.293228313446,100.89814897021806,86.5281483144888,110.92185033039222,60.06950799438066,86.45017538809158,58.61984274939707,104.1691134155432,64.00865149174855,68.18346228084673,103.58374876446305,0.0,101.41583454106876,0.0,0.0,79.97615756790505,95.95851989678802,107.37364094440841
Michigan,2012,76.7,81.02409727711773,101.50304317704537,57.58837373288593,0.0,0.0,52.76132772215321,57.08339876921336,63.6702140198025,63.6702140198025,95.37414121209198,83.8894160573272,51.136721711358625,85.65674442311419,83.50734384315717,206.4032773276375,93.28319433095632,61.24394913168363,62.282322378027715,43.12682625237586,99.41770169630531,71.70030352818816,108.37796648283786,0.0,74.89003234125786,136.59395441467657,0.0,89.96565967352875,0.0,0.0,79.315197588005,92.53142990047417,61.356366253947655
Minnesota,2012,82.5,76.2976916026192,97.95398572330252,65.89438917512909,0.0,0.0,72.67126271164499,60.197038702079546,63.6702140198025,63.6702140198025,108.3502148463902,53.23751403638072,28.003442841934483,84.49134653980651,84.10382487060829,309.60491599145627,126.91591065436234,58.99646475987873,59.90966247791237,27.210973706856198,87.06767664086365,65.88676540428101,106.27353994919052,0.0,72.0956281494199,153.66819871651114,0.0,93.2371382071116,0.0,0.0,77.99327762820492,89.78975790342308,68.1055665418819
Mississippi,2012,69.2,99.25451916446923,123.507199390251,0.0,0.0,0.0,0.0,0.0,83.26104910281866,83.26104910281866,96.6717485755218,0.0,24.350819862551724,103.13771267272934,101.40177466669086,131.8687605148795,62.18879622063755,0.0,51.01218785247984,35.93902187697988,0.0,61.52661181135065,148.36207062213725,0.0,79.36107904819863,142.28536918195476,0.0,112.04813977521307,0.0,0.0,81.29807752770513,113.09396987835731,26.383237489197494
Missouri,2012,75.3,81.69929808776038,114.98946150126817,53.712233193172445,0.0,0.0,0.0,51.89399888110305,72.76595887977429,72.76595887977429,107.70141116467529,8.872919006063455,29.22098383506207,85.07404548146036,88.27919206276616,267.5598039432338,90.74487611786907,62.36769131758608,72.36612695351792,46.20731384183128,98.18269919076114,56.681996708094694,128.37001855248755,0.0,73.77227066452268,149.11506690268857,0.0,115.31961830879594,0.0,0.0,85.26383740710538,103.49811788867851,46.63083835300022
Montana,2012,79.5,0.0,0.0,97.4572478556531,0.0,0.0,0.0,103.7879977622061,76.26432228745574,76.26432228745574,102.510981710956,0.0,7.91401645532931,103.72041161438318,107.36658494120208,252.27067228933473,69.80375085989928,0.0,81.26360157895044,0.0,0.0,93.01660998251437,140.9965777543716,0.0,92.77421916902094,121.79627601975326,0.0,73.60826700561442,0.0,0.0,101.78783690460642,108.29604388351791,83.44465810536882
Nebraska,2012,79,73.59688836004861,135.57399473297667,67.00185790076151,0.0,0.0,0.0,0.0,85.36006714742753,85.36006714742753,120.02868111725861,122.60760808378592,38.35254128351897,98.47612113949863,90.66511617257063,279.0266526836581,98.99441031040263,53.939624923317695,59.90966247791237,29.778046698069044,104.97521297125405,77.0293801417697,143.1010042880189,0.0,74.89003234125786,221.96517592384942,0.0,150.4880125448117,0.0,0.0,94.51727712570597,117.89189587319672,50.31222032823708
