states,year,y,NIH,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,endocrine,glucose,glycogen,hyperglycemia,hypertension,icd 10 codes,insulin,insulin syringes,ketoacidosis,obesity,polyphagia,prediabetes,sclerosis,signs of diabetes,sugar level,symptoms of diabetes,type 1 diabetes,type 2,type 2 diabetes
Georgia,2011,10.10,6.0,71.66666666666667,67.0,51.333333333333336,60.333333333333336,33.333333333333336,68.33333333333333,55.333333333333336,48.333333333333336,34.666666666666664,58.333333333333336,53.333333333333336,48.0,31.666666666666668,59.333333333333336,24.333333333333332,52.333333333333336,61.333333333333336,33.333333333333336,60.0,43.333333333333336,32.0,56.0,56.666666666666664,88.0,65.0,44.666666666666664,61.333333333333336,49.0
Idaho,2011,9.40,5.0,75.33333333333333,81.66666666666667,77.66666666666667,0.0,48.666666666666664,86.0,62.333333333333336,63.333333333333336,40.333333333333336,61.333333333333336,69.66666666666667,89.0,46.666666666666664,66.0,52.666666666666664,76.66666666666667,0.0,39.333333333333336,84.66666666666667,66.66666666666667,39.0,74.0,67.0,0.0,75.0,68.33333333333333,89.0,56.333333333333336
Illinois,2011,9.70,7.0,71.66666666666667,66.66666666666667,51.0,64.0,35.666666666666664,59.666666666666664,48.666666666666664,36.333333333333336,38.0,41.333333333333336,53.333333333333336,48.0,35.333333333333336,56.333333333333336,17.0,52.0,48.666666666666664,33.0,56.666666666666664,43.0,26.333333333333332,62.666666666666664,51.0,75.33333333333333,50.0,51.0,59.333333333333336,49.0
Indiana,2011,10.20,8.0,82.66666666666667,81.0,63.333333333333336,100.0,48.333333333333336,74.33333333333333,64.33333333333333,58.333333333333336,47.333333333333336,71.0,72.0,63.666666666666664,42.333333333333336,65.33333333333333,29.666666666666668,76.33333333333333,0.0,39.666666666666664,81.66666666666667,50.333333333333336,39.0,73.33333333333333,56.0,0.0,61.0,67.66666666666667,81.66666666666667,70.33333333333333
Iowa,2011,8.20,8.666666666666666,77.0,75.0,64.33333333333333,0.0,48.333333333333336,73.0,64.33333333333333,54.333333333333336,66.66666666666667,58.333333333333336,65.66666666666667,59.666666666666664,47.666666666666664,68.33333333333333,21.666666666666668,63.0,0.0,42.333333333333336,78.33333333333333,63.333333333333336,51.333333333333336,70.0,60.333333333333336,0.0,63.666666666666664,60.666666666666664,68.33333333333333,58.0
Kansas,2011,9.50,7.333333333333333,81.0,74.66666666666667,50.333333333333336,0.0,44.666666666666664,69.66666666666667,62.0,53.0,29.666666666666668,58.666666666666664,63.333333333333336,69.0,45.333333333333336,64.0,27.0,63.0,0.0,36.0,69.33333333333333,47.333333333333336,39.333333333333336,70.33333333333333,66.66666666666667,0.0,62.0,65.66666666666667,73.0,62.333333333333336
Kentucky,2011,10.70,7.666666666666667,79.33333333333333,78.0,60.0,0.0,51.333333333333336,69.0,77.33333333333333,67.0,45.333333333333336,58.333333333333336,64.33333333333333,55.666666666666664,54.333333333333336,71.33333333333333,30.333333333333332,77.0,0.0,42.333333333333336,77.66666666666667,45.0,37.0,80.0,62.0,0.0,59.0,54.666666666666664,72.66666666666667,59.666666666666664
Louisiana,2011,11.80,7.666666666666667,81.0,76.0,76.33333333333333,0.0,56.666666666666664,77.0,71.0,84.33333333333333,50.666666666666664,60.666666666666664,63.0,61.0,52.0,72.66666666666667,43.0,72.0,0.0,35.333333333333336,70.0,57.0,25.666666666666668,71.66666666666667,56.0,0.0,74.0,48.666666666666664,68.33333333333333,57.333333333333336
Maine,2011,9.60,8.333333333333334,89.33333333333333,83.33333333333333,74.33333333333333,0.0,46.666666666666664,71.33333333333333,61.0,52.333333333333336,75.66666666666667,71.33333333333333,68.66666666666667,48.0,47.666666666666664,70.0,20.0,78.66666666666667,0.0,52.666666666666664,76.66666666666667,70.0,60.333333333333336,86.66666666666667,45.0,0.0,55.666666666666664,53.333333333333336,78.33333333333333,64.33333333333333
Maryland,2011,9.40,100.0,79.66666666666667,79.0,65.0,0.0,42.0,65.0,52.666666666666664,37.0,45.333333333333336,69.33333333333333,67.66666666666667,59.666666666666664,37.0,72.33333333333333,29.0,61.666666666666664,0.0,40.0,78.33333333333333,46.666666666666664,42.666666666666664,72.33333333333333,48.333333333333336,0.0,55.333333333333336,57.333333333333336,68.66666666666667,56.666666666666664
Massachusetts,2011,8.00,20.333333333333332,74.0,69.66666666666667,54.333333333333336,72.0,35.0,55.333333333333336,41.333333333333336,28.666666666666668,33.0,53.0,60.0,56.0,38.666666666666664,58.0,30.333333333333332,59.0,0.0,30.333333333333332,61.0,38.333333333333336,30.0,74.0,40.0,57.333333333333336,39.333333333333336,50.333333333333336,63.333333333333336,51.666666666666664
Michigan,2011,10.00,8.666666666666666,72.66666666666667,68.66666666666667,62.0,52.666666666666664,48.333333333333336,60.333333333333336,57.0,46.666666666666664,49.666666666666664,52.666666666666664,60.0,58.333333333333336,42.666666666666664,64.66666666666667,23.0,62.0,63.333333333333336,36.0,69.33333333333333,52.666666666666664,25.666666666666668,72.66666666666667,55.666666666666664,78.33333333333333,51.333333333333336,52.0,70.33333333333333,57.333333333333336
Minnesota,2011,7.30,8.0,71.0,71.66666666666667,66.33333333333333,0.0,42.666666666666664,62.666666666666664,49.333333333333336,34.666666666666664,45.333333333333336,51.666666666666664,62.0,56.666666666666664,46.333333333333336,60.666666666666664,26.666666666666668,60.666666666666664,0.0,34.333333333333336,61.666666666666664,44.666666666666664,32.666666666666664,64.0,49.333333333333336,0.0,50.333333333333336,55.333333333333336,65.0,52.333333333333336
Mississippi,2011,12.30,5.0,95.33333333333333,88.33333333333333,74.33333333333333,0.0,72.66666666666667,90.33333333333333,82.66666666666667,87.66666666666667,49.666666666666664,77.33333333333333,70.66666666666667,75.0,47.0,82.0,53.666666666666664,68.0,0.0,43.666666666666664,98.66666666666667,72.66666666666667,15.0,81.0,95.33333333333333,0.0,99.66666666666667,57.0,77.0,69.66666666666667
Missouri,2011,10.20,9.333333333333334,75.66666666666667,75.33333333333333,67.66666666666667,84.0,49.333333333333336,68.33333333333333,62.666666666666664,52.666666666666664,36.333333333333336,55.0,64.0,60.333333333333336,41.333333333333336,67.0,19.666666666666668,65.33333333333333,0.0,36.0,67.66666666666667,38.333333333333336,21.666666666666668,71.33333333333333,49.666666666666664,72.0,59.666666666666664,66.0,74.0,64.0
Montana,2011,7.90,11.0,88.66666666666667,88.0,0.0,0.0,71.33333333333333,82.66666666666667,63.666666666666664,52.666666666666664,0.0,57.333333333333336,69.66666666666667,90.0,40.0,63.666666666666664,55.333333333333336,71.66666666666667,0.0,37.333333333333336,81.0,0.0,57.0,80.0,0.0,0.0,59.666666666666664,80.0,85.66666666666667,68.33333333333333
