states,year,y,NIH,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,endocrine,glucose,glycogen,hyperglycemia,hypertension,icd 10 codes,insulin,insulin syringes,ketoacidosis,obesity,polyphagia,prediabetes,sclerosis,signs of diabetes,sugar level,symptoms of diabetes,type 1 diabetes,type 2,type 2 diabetes
Idaho,2011,9.40,3.4117522407030636,50.967649264116275,54.179771979233486,44.67763294032573,0.0,25.7196152139295,98.72605179819045,49.94913272323949,48.256234362177224,31.956778648319563,34.33730467234019,81.72648736123783,60.11354089405133,35.37311625813251,46.698814988026626,185.03062140688337,49.78286815269794,0.0,31.075924827072296,37.105090627434016,38.43137931081209,24.937572107875077,30.91525600507819,50.740660974178326,0.0,75.22306594930684,49.90963511550739,95.99363456667955,50.36956497247158
Illinois,2011,9.70,4.776453136984289,48.486922972500004,44.22838528917019,29.337673132488565,38.06568665315165,18.849307040345593,68.49598167393833,38.99771859675382,27.683839713038513,30.108039387672974,23.14035749657708,62.56573195118685,32.420786100162516,26.782502309728905,39.85908956048738,59.725073998424385,33.76577144269947,56.685044731530375,26.072174219323365,24.83411577426686,24.788239655473795,16.83818971386437,26.18048706736351,38.62348820422529,91.49188812994886,50.14871063287123,37.249630110598204,63.99575637778637,43.81258018315575
Indiana,2011,10.20,5.458803585124902,55.92910184734884,53.73748812634178,36.43240454361325,59.477635395549456,25.543453465888888,85.33298275580027,51.551778692969094,44.44653164937376,37.50299643025932,39.74916247395902,84.46373813410224,43.00257045229889,32.08846974844878,46.227109786127365,104.22610952666217,49.56642089986011,0.0,31.33928012221697,35.79034332173754,29.015691379663128,24.937572107875077,30.63674018521262,42.41010469483562,0.0,61.1814269721029,49.422711846087815,88.08404669976214,62.88744502480179
Iowa,2011,8.20,5.91370388388531,52.09525212394186,49.75693345031647,37.00765303640714,0.0,25.543453465888888,83.80234629381283,51.551778692969094,41.39876947913099,52.82112173275961,32.65776259597572,77.03405746489881,40.30083827728535,36.13111160652107,48.349783194674025,76.12019235093304,40.908530786347434,0.0,33.44612248337442,34.329512982074775,36.50981034527148,32.82381285993814,29.244161085884773,45.691838986697896,0.0,63.856024872522696,44.310017517182175,73.70297785082137,51.859788788225174
Kansas,2011,9.50,5.003903286364493,54.80149898752326,49.535791523870614,28.95417413729264,0.0,23.605674237442145,79.9757551388442,49.682025061617885,40.38284875571673,23.505399171078025,32.84437838223843,74.29680669203438,46.604880018983614,34.362455793614444,45.28369938232885,94.85747046808578,40.908530786347434,0.0,28.442371875625486,30.385271064985332,27.286279310676584,25.15071374982273,29.383418995817557,50.48821987480431,0.0,62.184401184760326,47.96194203782906,78.73635194795064,55.73437070918453
Kentucky,2011,10.70,5.231353435744698,53.673896127697674,51.74721078832913,34.51490956763361,0.0,27.128909198254405,79.21043690785048,61.96897749621155,51.05001635156643,35.91836277827653,32.65776259597572,75.46991416611912,37.599106102271804,41.18441392911143,50.47245660322069,106.56826929130625,49.999315405535754,0.0,33.44612248337442,34.037346914142226,25.94118103479816,23.65872225618918,33.42189838386831,46.954044483568005,0.0,59.17547854678805,39.927708092405915,78.37682522672714,53.35001260397877
Louisiana,2011,11.80,5.231353435744698,54.80149898752326,50.42035922965402,43.910634949933865,0.0,29.947497166904213,88.39425567977517,56.89393192540113,64.25698575595177,40.1440525168973,33.96407309981475,73.90577086733946,41.20141566895653,39.4157581162048,51.415867007019216,151.06930481954402,46.75260661296849,0.0,27.915661285336128,30.677437132917884,32.85882931074433,16.41190642996907,29.9404506355487,42.41010469483562,0.0,74.22009173664942,35.545398667629655,73.70297785082137,51.26369926192374
Maine,2011,9.60,5.686253734505106,60.43951328665116,55.285481611462735,42.76013796434608,0.0,24.662644725685823,81.88905071632851,48.88070207675308,39.8748883940096,59.95197316668216,39.93577826022173,80.55337988715307,32.420786100162516,36.13111160652107,49.529046199422176,70.2647929393228,51.08155166972484,0.0,41.61013663285951,33.5990978122434,40.35294827635269,38.578637192524695,36.20705658252401,34.07954841549291,0.0,55.8322311712633,38.953861553566746,84.48877948752694,57.52263928808884
Maryland,2011,9.40,68.23504481406127,53.899416699662794,52.41063656766668,37.39115203160308,0.0,22.19638025311724,74.61852752188814,42.203010536213036,28.19180007474564,35.91836277827653,38.81608354264542,79.38027241306831,40.30083827728535,28.045827890376493,51.18001440606958,101.88394976201806,40.042741774996166,0.0,31.602635417361654,34.329512982074775,26.90196551756846,27.28213016929923,30.218966455414265,36.60395940923312,0.0,55.49790643371083,41.87540117008425,74.0625045720449,50.6676097356223
Massachusetts,2011,8.00,13.874459112192458,50.065566976255816,46.21866262718285,31.25516810846821,42.82389748479561,18.496983544264367,63.521413172479136,33.12135004107859,21.842295553406533,26.146455257716006,29.671910015772223,70.38644844508521,37.8242504501896,29.309153471024082,41.03835256523552,106.56826929130625,38.31116375229363,0.0,23.965331858165918,26.73319521582844,22.09804310371695,19.182747775288522,30.91525600507819,30.29293192488258,69.63099450597878,39.45031903119204,36.76270684117862,68.3100770324686,46.19693828836151
